location,count,latitude,longitude
"Cheras, Kuala Lumpur",140,3.1083,101.726
"Jakarta Barat, Jakarta Raya",139,-6.2019,106.7504
"Jember, East Java",138,-8.1745,113.695
"Pasir Panjang, Central Region",138,1.2749,103.7942
"Padang, West Sumatra",137,-0.9471,100.4172
"Kota Damansara, Selangor",135,3.1556,101.5811
"Kendari, Southeast Sulawesi",134,-3.9778,122.5152
"Seremban, Negeri Sembilan",132,2.7297,101.9381
"Boon Lay, West Region",131,1.3413,103.7065
"Downtown Core, Central Region",131,1.2804,103.8515
"Bukit Batok, West Region",129,1.3494,103.7508
"Tai Seng, North-East Region",124,1.3371,103.8923
East Java,122,-7.5361,112.2384
Bangka Belitung,122,-2.1333,106.1333
"Bangsar South, Kuala Lumpur",119,3.1103,101.6651
"Cyberjaya, Selangor",117,2.9208,101.6517
"Banjarbaru, South Kalimantan",117,-3.4139,114.8353
Central Java,116,-7.15,110.1403
"One North, Central Region",111,1.2978,103.789
"Pekanbaru, Riau",111,0.5071,101.4478
"Simpang Ampat, Penang",111,5.2823,100.4749
"Jembrana, Bali",107,-8.3159,114.5909
"Kalideres, Jakarta",107,-6.1498,106.7164
"East Bekasi, West Java",107,-6.2502,107.0263
"Bandar Sunway, Selangor",107,3.0678,101.6067
"Paya Lebar, East Region",107,1.3502,103.8933
"Jakarta Pusat, Jakarta Raya",105,-6.1865,106.8467
"Surabaya, Jawa Timur",104,-7.2575,112.7521
"Seri Kembangan, Selangor",104,3.0081,101.7044
"Sukaraja, West Java",103,-6.5461,106.7887
Malaysia,103,3.139,101.6869
"Kallang, Central Region",102,1.311,103.8689
"Tanjung Bintang, Lampung",102,-5.4281,105.4292
"Kendawangan, West Kalimantan",101,-2.6023,110.361
"Mauk, Banten",101,-6.0472,106.5267
"Serpong, Banten",101,-6.3149,106.6714
"Paya Lebar Air Base, East Region",101,1.3502,103.8933
"Downtown Tanjong Pagar, Central Region",101,1.2762,103.8437
"Miri, Sarawak",100,4.3995,113.9914
"Queenstown, Central Region",100,1.2956,103.7984
"Pasir Gudang, Johor",99,1.4742,103.9074
"Karawaci, Banten",99,-6.1874,106.6119
"George Town, Penang",98,5.4141,100.3288
"Bukit Jalil, Kuala Lumpur",98,3.0609,101.6754
"Kulim, Kedah",96,5.3654,100.5554
"Bukit Timah, Central Region",96,1.3455,103.7782
"West Batu Raja, South Sumatra",95,-4.1448,104.1746
"Nilai, Negeri Sembilan",94,2.8163,101.7617
North-East Region,93,1.3868,103.8839
"Bintulu, Sarawak",92,3.171,113.0417
Lampung,91,-5.45,105.2667
"Bukit Mertajam, Penang",90,5.3654,100.4605
"Novena, Central Region",90,1.3205,103.8433
"Iskandar Puteri, Johor",90,1.4263,103.6426
Banten,89,-6.12,106.1503
"Sukoharjo, Central Java",89,-7.6804,110.8314
"Boon Keng, Central Region",89,1.3184,103.8631
"Ubud, Bali",88,-8.5098,115.2654
"Penang Island, Penang",87,5.4141,100.3288
"Sukabumi, West Java",86,-6.9218,106.9285
"Jurong West, West Region",85,1.3455,103.7176
"Samarinda, East Kalimantan",84,-0.5022,117.1536
"Cilegon, Banten",83,-6.0023,106.0112
"KL Eco City, Kuala Lumpur",82,3.1103,101.6746
"Outram, Central Region",81,1.2826,103.8399
"Clementi, West Region",81,1.3154,103.7649
"Pioneer, West Region",80,1.3417,103.6952
"Cikupa, Banten",79,-6.2242,106.5124
"Kulai, Johor",76,1.6471,103.602
"Marina South, Central Region",76,1.2709,103.8633
"Bukit Merah, Central Region",75,1.281,103.8263
"Serangoon, North-East Region",74,1.3554,103.8671
"Manado, North Sulawesi",73,1.4748,124.8421
Riau,73,0.5071,101.4478
"Sungai Petani, Kedah",73,5.6436,100.4891
"Port Klang, Selangor",73,2.9992,101.3925
"Pekanbaru City, Riau",72,0.5071,101.4478
"Macpherson, Central Region",71,1.3275,103.8818
"Tiong Bahru, Central Region",71,1.2833,103.8267
"Kuantan, Pahang",69,3.8117,103.3211
"Mid Valley City, Kuala Lumpur",69,3.1179,101.678
"Bandar Lampung, Lampung",69,-5.4243,105.2516
"Mataram City, West Nusa Tenggara",69,-8.5833,116.1167
"Batam Kota, Riau Islands",69,1.1305,104.0455
"Bogor Regency, West Java",68,-6.595,106.7887
"Cibinong, West Java",67,-6.4836,106.8565
"Butterworth, Penang",67,5.3991,100.3639
"Rawang, Selangor",67,3.3206,101.576
"Kelapa Gading, Jakarta",66,-6.1516,106.9001
"Setia Alam, Selangor",64,3.1057,101.4604
"Kuta, Bali",64,-8.7239,115.1688
"Kulim Hi-Tech Park, Kedah",63,5.3654,100.5554
"Mont Kiara, Kuala Lumpur",63,3.1685,101.6517
"Ara Damansara, Selangor",62,3.1216,101.5713
"Purworejo, Central Java",61,-7.7107,110.0116
"Kuala Lumpur Sentral, Kuala Lumpur",61,3.1343,101.6862
"Grogol Petamburan, Jakarta",61,-6.1657,106.7866
"Kranji, North Region",61,1.4344,103.7583
"Yishun, North Region",61,1.4311,103.836
"Balakong, Selangor",60,3.0376,101.7587
"Serang, Banten",60,-6.1201,106.1503
"Kaki Bukit, East Region",60,1.3413,103.9028
"North Cikarang, West Java",60,-6.2613,107.1552
"Bugis, Central Region",59,1.2994,103.856
"Bantul, Yogyakarta Special Region",59,-7.8831,110.3331
"Cengkareng, Jakarta",59,-6.1498,106.7164
"Bedok, East Region",58,1.3236,103.9327
"Pasuruan, East Java",58,-7.6449,112.9068
"Kota Bharu, Kelantan",58,6.1236,102.2431
"Kajang, Selangor",58,2.994,101.789
"Bishan, Central Region",57,1.3525,103.8503
"Kepong, Kuala Lumpur",57,3.2017,101.6377
Putrajaya,57,2.9264,101.6964
"Geylang, Central Region",56,1.3205,103.888
"Gelang Patah, Johor",56,1.4431,103.59
"Semenyih, Selangor",56,2.9496,101.8428
"Joo Koon, West Region",56,1.3247,103.6789
"Pontianak, West Kalimantan",54,-0.0227,109.3386
"Braddell, Central Region",54,1.3395,103.8478
"Sentosa, Central Region",54,1.2494,103.8303
"Cianjur Regency, West Java",54,-6.8124,107.1507
"Weest Karawang, West Java",53,-6.3051,107.3048
"Central Weda, North Maluku",53,0.3252,127.981
Sarawak,53,2.5,113.0
"Cinere, West Java",53,-6.3358,106.7886
"City Hall, Central Region",53,1.2927,103.8536
"East Sumba, East Nusa Tenggara",52,-10.1,120.3
"Bandar Malaysia, Kuala Lumpur",52,3.1202,101.694
"Sungai Buloh, Selangor",52,3.196,101.5706
"Kent Ridge, Central Region",52,1.2948,103.7836
"Kerinci, Jambi",51,-2.0167,101.3667
"Chinatown, Central Region",51,1.283,103.8442
"Changi Airport, East Region",51,1.3644,103.9915
"Taman Sari, Jakarta",51,-6.1462,106.8192
"Karanganyar, Central Java",51,-7.6231,110.9685
"Tegal, Central Java",51,-6.8666,109.1398
"Johor Bahru District, Johor",50,1.4927,103.7414
"Kemang, West Java",50,-6.2608,106.7897
"Bekasi Regency, West Java",50,-6.2349,106.9896
"Eunos, Central Region",49,1.3185,103.9041
"West Tanjung Jabung, Jambi",49,-0.98,103.427
"Alor Setar, Kedah",49,6.1248,100.3675
"Bukit Minyak, Penang",48,5.3035,100.4373
"Bandar Baru Bangi, Selangor",48,2.9631,101.7525
"Kendal, Central Java",48,-6.9237,110.2037
"Glenmarie, Selangor",48,3.1039,101.5654
"Kelana Jaya, Selangor",48,3.1016,101.6033
"Sepang, Selangor",48,2.6939,101.7494
"Pulo Gadung, Jakarta",47,-6.1845,106.9021
"Bukit Damansara, Kuala Lumpur",47,3.1454,101.6539
"Bangsar, Kuala Lumpur",47,3.1287,101.6729
"Grobogan, Central Java",46,-7.0417,110.8833
"Khatib, North Region",45,1.4196,103.8335
"Anson, Central Region",45,1.3006,103.8393
"Lavender, Central Region",45,1.31,103.8614
"Skudai, Johor",44,1.5428,103.6585
"Sri Petaling, Kuala Lumpur",44,3.0718,101.6881
"Magelang, Central Java",44,-7.4797,110.2177
"Toa Payoh, Central Region",43,1.335,103.8509
"Ulu Tiram, Johor",43,1.6011,103.8258
"Tanglin, Central Region",42,1.3068,103.8229
"Ampang, Selangor",42,3.1562,101.761
"Sibu, Sarawak",42,2.29,111.83
"West Denpasar, Bali",42,-8.6416,115.1871
"Tabanan, Bali",41,-8.5405,115.125
"Sembawang, North Region",41,1.4575,103.8178
"Clarke Quay, Central Region",41,1.29,103.8465
"Banting, Selangor",41,2.8171,101.5042
"Bandung Regency, West Java",40,-6.9175,107.6191
"Batam, Kepulauan Riau",40,1.1305,104.0455
"Kosambi, Banten",40,-6.0826,106.6844
"Subang, West Java",40,-6.5711,107.7629
"Bandar Puteri Puchong, Selangor",39,2.9919,101.6198
"Cikande, Banten",39,-6.1903,106.344
"Bandung, Jawa Barat",39,-6.9175,107.6191
"Kediri, East Java",38,-7.8082,112.0117
"Bekasi, Jawa Barat",38,-6.2349,106.9896
"Batu Pahat, Johor",38,1.8458,102.9436
"Medan Kota, North Sumatra",38,3.5952,98.6722
"Bukit Bintang, Kuala Lumpur",38,3.1478,101.7132
"Jakarta Timur, Jakarta Raya",38,-6.225,106.9096
"Klaten, Central Java",38,-7.7028,110.6021
"Aljunied, Central Region",37,1.3168,103.8822
"Gul Circle, West Region",37,1.3088,103.6603
"Blubur Limbangan, West Java",37,-6.9416,107.9833
"Purwakarta, West Java",36,-6.5569,107.4416
"Cakung, Jakarta",36,-6.1845,106.9456
"Medan, Sumatera Utara",36,3.5952,98.6722
"Bati-Bati, South Kalimantan",36,-3.55,114.8833
"Bukit Raja, Selangor",36,3.0971,101.4405
Sabah,36,5.5,117.0
"Muar, Johor",35,2.0407,102.5622
"Taman Tun Dr Ismail, Kuala Lumpur",35,3.1461,101.6347
South Sumatra,35,-3.3191,103.5774
"West Cikarang, West Java",34,-6.3182,107.1201
"Madiun, East Java",34,-7.6292,111.5266
"Katong, Central Region",34,1.3032,103.901
"Redhill, Central Region",34,1.286,103.8159
"Tasikmalaya, West Java",34,-7.3273,108.2207
"Bendemeer, Central Region",34,1.3131,103.8688
"Damansara, Selangor",34,3.1474,101.6151
"North Kuta, Bali",34,-8.6437,115.1582
"Penjaringan, Jakarta",33,-6.1214,106.7866
"Pulau Indah, Selangor",33,2.9423,101.3274
"Cipondoh, Banten",33,-6.1806,106.6844
"Mojokerto, East Java",33,-7.47,112.4356
"Setapak, Kuala Lumpur",32,3.1977,101.7144
"Teluk Panglima Garang, Selangor",32,2.917,101.4749
Perak,32,4.75,101.0
"Hougang, North-East Region",32,1.3737,103.8918
"Kapar, Selangor",32,3.0588,101.3816
"Gianyar, Bali",32,-8.5468,115.3224
"Setiabudi, Jakarta",31,-6.2097,106.8238
"Batu Caves, Selangor",31,3.2365,101.6815
"Cibitung, West Java",31,-6.2396,107.0982
"Loyang, East Region",31,1.3681,103.9593
"Cileungsi, West Java",31,-6.4118,106.9745
"Pasir Ris, East Region",31,1.376,103.9569
"Senoko, North Region",31,1.4662,103.8083
Jambi,31,-1.6,103.6167
Negeri Sembilan,30,2.725,101.9375
"Genting Highlands, Pahang",30,3.4243,101.7933
"Cheras, Selangor",30,3.0515,101.7726
"Palu, Central Sulawesi",30,-0.9001,119.8596
"Kuchai Lama, Kuala Lumpur",29,3.0942,101.6884
"Kota Kemuning, Selangor",29,2.9913,101.5433
"Tun Razak Exchange, Kuala Lumpur",29,3.1404,101.719
"Damansara Perdana, Selangor",29,3.1708,101.6102
"Punggol, North-East Region",29,1.4069,103.9153
"Masai, Johor",29,1.4935,103.8893
"Shah Alam/Subang, Selangor",29,3.0733,101.5185
"West Coast, West Region",29,1.3374,103.708
"Cikarang Pusat, Jawa Barat",28,-6.3182,107.1697
"Brebes, Central Java",28,-6.8833,109.05
"Admiralty, North Region",28,1.4516,103.8032
"Kempas, Johor",28,1.5292,103.7241
"Banyuwangi, East Java",28,-8.2154,114.3634
"Bogor, Jawa Barat",28,-6.595,106.7887
"Pekalongan, Central Java",28,-6.8869,109.6698
"Maritime Square, Central Region",27,1.2686,103.8488
"Geylang Bahru, Central Region",27,1.3197,103.8727
"Puchong Jaya, Selangor",27,3.0329,101.6214
"Demak, Central Java",27,-6.8833,110.6333
"Balaraja, Banten",27,-6.1792,106.4503
"Tawau, Sabah",27,4.2448,117.8916
South Kalimantan,27,-3.3333,115.0
"Kudus, Central Java",27,-6.8036,110.8398
"Cameron Highlands, Pahang",27,4.4717,101.3691
"Boyolali, Central Java",27,-7.5181,110.5954
"Penampang, Sabah",27,5.9174,116.1053
Pahang,27,3.8,103.0833
"Seremban 2, Negeri Sembilan",27,2.6915,101.9091
"Semarang, Jawa Tengah",26,-6.9932,110.4203
Bengkulu,26,-3.7956,102.2624
"Cilacap, Central Java",26,-7.7167,109.0
"Bandar Utama, Selangor",26,3.1432,101.6165
"Jurong Island And Bukom, West Region",26,1.274,103.6934
"Garut, West Java",26,-7.2277,107.903
West Kalimantan,26,-0.5,111.0
"Mandai, North Region",25,1.41,103.7875
"Alexandra North, Central Region",25,1.2898,103.8079
"Lamongan, East Java",25,-7.1192,112.4169
"Salatiga, Central Java",25,-7.3333,110.5
"Palangkaraya, Central Kalimantan",25,-2.21,113.92
"Bandar Sri Sendayan, Negeri Sembilan",25,2.6832,101.8654
"Padalarang, West Java",24,-6.8373,107.4897
"Penjuru Crescent, West Region",24,1.3175,103.7251
"Serendah, Selangor",24,3.3591,101.5978
"Bencoolen, Central Region",24,1.2996,103.8508
"Mutiara Damansara, Selangor",24,3.1552,101.6117
"Banyumas, Central Java",24,-7.5167,109.2833
"Jambi City, Jambi",24,-1.6,103.6167
"Melaka, Melaka",24,2.1896,102.2501
Kedah,24,6.12,100.37
"Kuala Selangor, Selangor",23,3.3307,101.2466
"Sragen, Central Java",23,-7.4303,111.0222
"North Denpasar, Bali",22,-8.623,115.2142
"Dhoby Ghaut, Central Region",22,1.2985,103.8459
"Cianjur, West Java",22,-6.8124,107.1507
"Meru, Selangor",22,3.0727,101.4459
"Cimahi, West Java",22,-6.8736,107.5468
"Pasar Minggu, Jakarta",22,-6.2902,106.8446
"Sungai Besi, Kuala Lumpur",22,3.0694,101.7156
"Sidoarjo, Jawa Timur",22,-7.4478,112.7183
"Kuala Terengganu, Terengganu",22,5.3303,103.1408
"Karawang, Jawa Barat",22,-6.3051,107.3048
"Pekan Nanas, Johor",22,1.5128,103.5097
"Malang Regency, East Java",22,-7.9775,112.6331
"West Bekasi, West Java",22,-6.2447,106.9625
"Majalengka, West Java",22,-6.8359,108.225
"Jombang, East Java",22,-7.546,112.2325
"Ayer Keroh, Melaka",22,2.2647,102.2854
"Klang/Port Klang, Selangor",22,2.9992,101.3925
"Seberang Perai, Penang",22,5.3625,100.4335
"Bedok North, East Region",21,1.334,103.9329
"Choa Chu Kang, West Region",21,1.3852,103.7452
"Morowali, Central Sulawesi",21,-2.8,121.9
"Sandakan, Sabah",21,5.8402,118.1179
"Deli Serdang, North Sumatra",21,3.55,98.7167
"East Cikarang, West Java",21,-6.2953,107.1922
"Central Semarang, Central Java",21,-6.9932,110.4203
"Maxwell, Central Region",20,1.2801,103.8436
"Merauke, South Papua",20,-8.4934,140.4026
"Melaka Tengah, Melaka",20,2.25,102.25
"Kota Kediri, East Java",20,-7.8082,112.0117
"Tebet, Jakarta",20,-6.2357,106.8475
"Waru, East Java",20,-7.3462,112.7305
"Sumedang, West Java",20,-6.8586,107.9203
"Sengkang, North-East Region",19,1.3521,103.8198
"Batang, Central Java",19,-7.15,110.1403
"Kluang, Johor",19,1.4927,103.7414
"Cisarua, West Java",19,-6.9175,107.6191
"Cikarang, West Java",19,-6.9175,107.6191
"Jayapura, Papua",19,-4.0,137.0
"West Kotawaringin, Central Kalimantan",19,-1.0,115.0
"Tampines North, East Region",19,1.3521,103.8198
"Taiping, Perak",19,4.5975,101.0901
"Krian, East Java",19,-7.5361,112.2384
"Cikampek, West Java",19,-6.9175,107.6191
"Gunung Putri, West Java",19,-6.9175,107.6191
"Southern Islands, Central Region",19,1.3521,103.8198
"Kupang, East Nusa Tenggara",19,-8.5,117.0
"Bangi, Selangor",19,3.075,101.525
"Cirebon Regency, West Java",19,-6.9175,107.6191
"Bandar Sri Damansara, Selangor",18,3.075,101.525
"Little India, Central Region",18,1.3521,103.8198
"Pandan, West Region",18,1.3521,103.8198
"Senawang, Negeri Sembilan",18,2.725,101.9375
"Bantul Regency, Yogyakarta Special Region",18,-8.5,117.0
"Makassar, Sulawesi Selatan",18,-3.0,120.0
"Tampoi, Johor",18,1.4927,103.7414
"River Valley, Central Region",18,1.3521,103.8198
"Citeureup, West Java",17,-6.9175,107.6191
"Kamunting, Perak",17,4.5975,101.0901
"Gunung Sindur, West Java",17,-6.9175,107.6191
"Central Lombok, West Nusa Tenggara",17,-8.5,117.0
"Toh Guan, West Region",17,1.3521,103.8198
"Simei, East Region",17,1.3521,103.8198
"Marina Centre, Central Region",17,1.3521,103.8198
"Ketapang, West Kalimantan",17,-1.0,115.0
"Maluri, Kuala Lumpur",17,3.139,101.6869
"Bandar Bukit Puchong, Selangor",17,3.075,101.525
"Parit Buntar, Perak",17,4.5975,101.0901
"Pemalang, Central Java",17,-7.15,110.1403
"Kembangan, Jakarta",16,-6.2088,106.8456
"Langkawi, Kedah",16,6.12,100.37
"Seberang Jaya, Penang",16,5.4141,100.3288
"Dumai, Riau",16,,
"Samarinda Kota, East Kalimantan",16,-1.0,115.0
"Potong Pasir, Central Region",16,1.3521,103.8198
"Bima, West Nusa Tenggara",16,-8.5,117.0
"Ang Mo Kio Town Centre, North-East Region",16,1.3521,103.8198
"Cilandak, Jakarta",16,-6.2088,106.8456
"Farrer Park, Central Region",16,1.3521,103.8198
"Karanganyar Regency, Central Java",15,-7.15,110.1403
"Sorong, West Papua",15,-4.0,137.0
Aceh,15,-0.5,104.0
"Malang, Jawa Timur",15,-7.5361,112.2384
"Batam Kota, Kepulauan Riau",15,1.0,104.0
"Tambora, Jakarta",15,-6.2088,106.8456
"Pati, Central Java",15,-7.15,110.1403
Terengganu,15,5.3303,103.1408
"Pangkal Pinang, Bangka Belitung",15,-2.1333,106.1333
"Tuban, East Java",15,-7.5361,112.2384
Labuan,15,5.9788,116.0753
"Pontian, Johor",15,1.4927,103.7414
"Manado, Sulawesi Utara",15,-3.0,120.0
"Chemor, Perak",15,4.5975,101.0901
"Balikpapan, Kalimantan Timur",15,-8.3405,115.092
Kelantan,14,6.1236,102.2431
"Selayang, Selangor",14,3.075,101.525
"Subang, Selangor",14,3.075,101.525
"Kebon Jeruk, Jakarta",14,-6.2088,106.8456
"Berau, East Kalimantan",14,-1.0,115.0
"Gambir, Jakarta",14,-6.2088,106.8456
"South Bekasi, West Java",14,-6.9175,107.6191
"Yogyakarta, DI Yogyakarta",14,-8.5,117.0
"Klungkung, Bali",14,-8.3405,115.092
"Palembang, Sumatera Selatan",14,-0.5,104.0
South Sulawesi,14,-3.0,120.0
Gorontalo,14,0.7186,122.4475
"Serangoon North, North-East Region",14,1.3521,103.8198
"Marine Parade, Central Region",14,1.3521,103.8198
"Simalungun, North Sumatra",14,-0.5,104.0
Jawa Barat,13,-6.9175,107.6191
"Ambon, Maluku",13,-3.0,128.0
"Bukit Jelutong, Selangor",13,3.075,101.525
"Port Dickson, Negeri Sembilan",13,2.725,101.9375
"Gedangan, East Java",13,-7.5361,112.2384
"West Bogor, West Java",13,-6.9175,107.6191
"Taman OUG, Kuala Lumpur",13,3.139,101.6869
"Mount Austin, Johor",13,1.4927,103.7414
"East Kotawaringin, Central Kalimantan",13,-1.0,115.0
"Bukit Indah, Johor",13,1.4927,103.7414
"Lorong Chuan, North-East Region",13,1.3521,103.8198
"Jalan Ipoh, Kuala Lumpur",13,3.139,101.6869
Southeast Sulawesi,13,-3.0,120.0
"Pasar Kemis, Banten",13,-6.12,106.1503
"Indramayu, West Java",13,-6.9175,107.6191
"Curug, Banten",13,-6.12,106.1503
"Inanam, Sabah",13,5.9788,116.0753
"Jelutong, Penang",12,5.4141,100.3288
"Rochor, Central Region",12,1.3521,103.8198
"Balestier, Central Region",12,1.3521,103.8198
"Sanggau, West Kalimantan",12,-1.0,115.0
"Teluknaga, Banten",12,-6.12,106.1503
"Subang Airport, Selangor",12,3.075,101.525
"Commonwealth, Central Region",12,1.3521,103.8198
"Legok, Banten",12,-6.12,106.1503
"Batujajar, West Java",12,-6.9175,107.6191
"Puncak Alam, Selangor",12,3.075,101.525
"Bintan, Riau Islands",12,1.0,104.0
"Nganjuk, East Java",12,-7.5361,112.2384
Kalimantan Timur,12,-1.0,115.0
"Bedok South, East Region",12,1.3521,103.8198
"Sitiawan, Perak",12,4.5975,101.0901
"Cikarang Utara, Jawa Barat",12,-6.9175,107.6191
"UEP Subang Jaya, Selangor",12,3.075,101.525
"Semarang Regency, Central Java",12,-7.15,110.1403
"Bojonegoro, East Java",12,-7.5361,112.2384
"Bukit Panjang, West Region",12,1.3521,103.8198
"Ternate, North Maluku",12,-3.0,128.0
"Alor Gajah, Melaka",12,2.1896,102.2501
"Driyorejo, East Java",12,-7.5361,112.2384
"Yong Peng, Johor",12,1.4927,103.7414
"Kelapa Gading, Jakarta Raya",12,-6.2088,106.8456
"Batu, East Java",12,-7.5361,112.2384
"Sedenak, Johor",12,1.4927,103.7414
"Depok, Yogyakarta Special Region",11,-8.5,117.0
"Gelugor, Penang",11,5.4141,100.3288
Sumatera Utara,11,-0.5,104.0
"West Semarang, Central Java",11,-7.15,110.1403
"Nibong Tebal, Penang",11,5.4141,100.3288
Jawa Timur,11,-7.5361,112.2384
"Lahad Datu, Sabah",11,5.9788,116.0753
"Sentul, Kuala Lumpur",11,3.139,101.6869
"Tulungagung, East Java",11,-7.5361,112.2384
"Blitar, East Java",11,-7.5361,112.2384
"East Purwokerto, Central Java",11,-7.15,110.1403
"Bandar Enstek, Negeri Sembilan",11,2.725,101.9375
"Tigaraksa, Banten",11,-6.12,106.1503
"Seletar, North-East Region",11,1.3521,103.8198
Riau Islands,11,1.0,104.0
"Gua Musang, Kelantan",11,6.1236,102.2431
"Jepara Regency, Central Java",11,-7.15,110.1403
"Kalijati, West Java",11,-6.9175,107.6191
"Damansara Utama, Selangor",11,3.075,101.525
"Lahat, South Sumatra",11,-0.5,104.0
"Bontang, East Kalimantan",11,-1.0,115.0
"Marymount, Central Region",11,1.3521,103.8198
"Yew Tee, West Region",11,1.3521,103.8198
"Probolinggo, East Java",11,-7.5361,112.2384
"Temanggung, Central Java",11,-7.15,110.1403
"Tanah Abang, Jakarta",11,-6.2088,106.8456
"Taman, East Java",10,-7.5361,112.2384
"Kuala Ketil, Kedah",10,6.12,100.37
"East Ciputat, Banten",10,-6.12,106.1503
"Depok, Jawa Barat",10,-6.9175,107.6191
"Holland Village, Central Region",10,1.3521,103.8198
"Bertam, Penang",10,5.4141,100.3288
"Chow Kit, Kuala Lumpur",10,3.139,101.6869
"Seletar Aerospace Park, North-East Region",10,1.3521,103.8198
"Ciracas, Jakarta",10,-6.2088,106.8456
"Pasuruan Regency, East Java",10,-7.5361,112.2384
"Queensway, Central Region",10,1.3521,103.8198
"Telanaipura, Jambi",10,-0.5,104.0
"East Denpasar, Bali",10,-8.3405,115.092
"Juru, Penang",10,5.4141,100.3288
"Damansara Jaya, Selangor",10,3.075,101.525
"Ampang, Kuala Lumpur",10,3.139,101.6869
"Kota Blora, Central Java",10,-7.15,110.1403
"Gresik, Jawa Timur",10,-7.5361,112.2384
"Kim Keat, Central Region",10,1.3521,103.8198
"Tengah, West Region",10,1.3521,103.8198
"Bandar Sri Permaisuri, Kuala Lumpur",10,3.139,101.6869
"Balikpapan Kota, East Kalimantan",10,-8.3405,115.092
"Buleleng, Bali",10,-8.3405,115.092
"Geylang East, Central Region",10,1.3521,103.8198
"Tarakan, North Kalimantan",9,-1.0,115.0
